continente,region,nacionalidad,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,accion_migratoria,anual,timeste_1,timeste_2,timeste_3,timeste_4,cuatrimestre_1,cuatrimestre_2,cuatrimestre_3,semestre_1,semestre_2,total_anual,dominicano,covid-19,gasto_timeste_1,gasto_timeste_2,gasto_timeste_3,gasto_timeste_4,gasto_promedio_anual,estadia_trimestre_1,estadia_trimestre_2,estadia_trimestre_3,estadia_trimestre_4,estadia_promedio_anual,proyectado
asia,asia_del_sur,afganistan,5,3,7,7,1,5,1,9,11,2,2,10,entrada,2018,15,13,21,14,22,23,25,28,35,63,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_del_este,albania,114,119,101,65,152,141,148,153,190,114,76,77,entrada,2018,334,358,491,267,399,659,457,692,758,1450,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_central,alemania,16538,16571,23319,16949,16019,12389,12993,12992,14113,15052,18985,17175,entrada,2018,56428,45357,40098,51212,73377,71342,65325,101785,91310,193095,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_occidental,andorra,22,17,17,7,48,13,29,13,12,18,12,18,entrada,2018,56,68,54,48,63,110,60,124,102,226,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
africa,africa_central,angola,8,6,6,3,4,2,13,11,4,6,8,7,entrada,2018,20,9,28,21,23,33,25,29,49,78,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
america,caribe,anguila,5,3,6,8,14,5,7,10,8,22,4,10,entrada,2018,14,27,25,36,22,44,44,41,61,102,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
antartida,antartico,antartico,0,0,0,0,0,0,0,0,0,0,0,2,entrada,2018,0,0,0,2,0,0,2,0,2,2,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
america,caribe,antigua_y_barbuda,157,65,125,100,121,159,184,188,127,129,111,331,entrada,2018,347,380,499,571,447,752,698,727,1070,1797,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
america,caribe,antillas_neerlandesas,0,0,0,0,0,0,0,0,0,0,0,1,entrada,2018,0,0,0,1,0,0,1,0,1,1,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
america,caribe,apatrida,0,0,0,0,0,1,0,1,1,1,0,0,entrada,2018,0,1,2,1,0,2,2,1,3,4,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
asia,asia_occidental,arabia_saudita,25,18,116,23,10,17,36,41,18,9,16,35,entrada,2018,159,50,95,60,182,127,78,209,155,364,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
africa,africa_del_norte,argelia,69,70,64,92,32,50,70,65,71,37,23,83,entrada,2018,203,174,206,143,295,309,214,377,349,726,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
america,america_del_sur,argentina,26358,19918,20389,22552,25391,19307,19313,14855,13969,15211,16920,14494,entrada,2018,66665,67250,48137,46625,89217,101418,60594,133915,94762,228677,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
asia,asia_occidental,armenia,24,15,19,28,9,35,37,43,27,19,36,63,entrada,2018,58,72,107,118,86,152,145,130,225,355,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
oceania,australia_y_nueva_zelanda,australia,297,228,357,256,305,202,249,250,137,199,253,361,entrada,2018,882,763,636,813,1138,1262,950,1645,1449,3094,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_central,austria,2399,2054,1664,1317,940,906,1476,935,695,958,1603,2210,entrada,2018,6117,3163,3106,4771,7434,5574,5466,9280,7877,17157,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
asia,asia_central,azerbaiyan,18,20,15,15,9,10,22,15,14,12,21,26,entrada,2018,53,34,51,59,68,71,73,87,110,197,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
america,caribe,bahamas,76,100,143,130,117,143,183,172,131,167,142,83,entrada,2018,319,390,486,392,449,745,523,709,878,1587,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
asia,asia_occidental,bahrein,1,1,7,3,1,0,1,6,0,0,5,2,entrada,2018,9,4,7,7,12,11,7,13,14,27,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
asia,asia_del_sur,bangladesh,13,10,17,21,16,10,13,12,13,3,24,21,entrada,2018,40,47,38,48,61,72,61,87,86,173,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
america,caribe,barbados,24,44,45,68,44,49,45,59,46,83,47,28,entrada,2018,113,161,150,158,181,265,204,274,308,582,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_occidental,belgica,2626,2359,2714,2952,2209,2868,4059,2482,2246,2211,2499,3303,entrada,2018,7699,8029,8787,8013,10651,14570,10259,15728,16800,32528,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
america,centroamerica,belice,35,21,30,44,52,58,38,28,44,102,36,29,entrada,2018,86,154,110,167,130,220,211,240,277,517,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
